#########################################################################################################
# Mass-radius curves for irradiated ocean planets (0.2 M_Earth to 20 M_Earth)
# 
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# T_b : temperature at the boundary between the interior and the atmosphere model (in K)
# M_b : mass of the interior part of the planet (in units of M_Earth), obtained by integrating the density profile
# M_a : mass of the atmosphere of the planet (in units of M_Earth), obtained by integrating the density profile
#       the mass of the planet is thus M_p = M_b + M_a
# R_b : radius of the interior part of the planet (in units of R_Earth)
# R_a : thickness of the atmosphere (in units of R_Earth)
#       the radius of the planet is thus R_p = R_b + R_a
# errcode : integer indicating if the run succeeded or failed, based on the success or fail to interpolate the atmosphere properties in the final iteration of the interior model
#           value 0 : the interpolation succeeded
#           value 1 : atmosphere properties are extrapolated beyond the range of parameters
#           value 2 : extrapolation yields to unphysical results
#
# 2024 update:
# Added case x_H2O = 0 from Zeng+2016 models
#
#########################################################################################################

#  x_core'     x_H2O     T_irr       T_b              M_b              M_a              R_b              R_a   errcode
   0.00000   0.00000   400.000   400.000  2.000000000e-01  0.000000000e+00  6.635201912e-01  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  2.548549971e-01  0.000000000e+00  7.134687254e-01  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  3.247553478e-01  0.000000000e+00  7.673075995e-01  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  4.138276162e-01  0.000000000e+00  8.219892058e-01  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  5.273301797e-01  0.000000000e+00  8.816686680e-01  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  6.719636573e-01  0.000000000e+00  9.468044644e-01  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  8.562664797e-01  0.000000000e+00  1.017787051e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  1.091118956e+00  0.000000000e+00  1.090118117e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  1.390385592e+00  0.000000000e+00  1.168441535e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  1.771733581e+00  0.000000000e+00  1.252311719e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  2.257675783e+00  0.000000000e+00  1.341105974e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  2.876899777e+00  0.000000000e+00  1.432190480e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  3.665961422e+00  0.000000000e+00  1.528645598e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  4.671442938e+00  0.000000000e+00  1.630778347e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  5.952702883e+00  0.000000000e+00  1.738203718e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  7.585380381e+00  0.000000000e+00  1.850012710e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  9.665860477e+00  0.000000000e+00  1.961262805e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  1.231696422e+01  0.000000000e+00  2.079375525e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  1.569519941e+01  0.000000000e+00  2.204640140e+00  0.000000000e+00         0
   0.00000   0.00000   400.000   400.000  2.000000000e+01  0.000000000e+00  2.331337160e+00  0.000000000e+00         0

   0.00000   0.10000   400.000  3101.915  2.099986025e-01  1.593846800e-03  1.035396444e+00  1.391281254e+00         1
   0.00000   0.10000   400.000  2844.252  2.548631250e-01  1.413171834e-03  1.035523008e+00  8.736573839e-01         1
   0.00000   0.10000   400.000  2724.709  3.248368342e-01  1.296370615e-03  1.063406950e+00  6.156103044e-01         1
   0.00000   0.10000   400.000  2668.678  4.138955061e-01  1.154562254e-03  1.102956308e+00  4.613091689e-01         0
   0.00000   0.10000   400.000  2608.271  5.274286480e-01  1.013480908e-03  1.147337979e+00  3.524166899e-01         0
   0.00000   0.10000   400.000  2563.466  6.722194875e-01  9.168083763e-04  1.198675630e+00  2.795669112e-01         0
   0.00000   0.10000   400.000  2530.389  8.565505021e-01  8.469804095e-04  1.256376034e+00  2.276864906e-01         0
   0.00000   0.10000   400.000  2492.428  1.091517900e+00  7.906408385e-04  1.319028386e+00  1.873470227e-01         0
   0.00000   0.10000   400.000  2451.328  1.390747856e+00  7.463208356e-04  1.387954016e+00  1.556947950e-01         0
   0.00000   0.10000   400.000  2419.613  1.771802517e+00  7.091097632e-04  1.462564239e+00  1.309320396e-01         0
   0.00000   0.10000   400.000  2393.365  2.258513521e+00  6.878080612e-04  1.544613349e+00  1.115478809e-01         0
   0.00000   0.10000   400.000  2370.878  2.877307829e+00  6.722821132e-04  1.632379564e+00  9.574641041e-02         0
   0.00000   0.10000   400.000  2335.318  3.666985644e+00  6.575586668e-04  1.727166286e+00  8.196681499e-02         0
   0.00000   0.10000   400.000  2303.834  4.672124997e+00  6.423419126e-04  1.828456686e+00  7.043368696e-02         0
   0.00000   0.10000   400.000  2277.494  5.954682783e+00  6.258561073e-04  1.936261375e+00  6.069230478e-02         0
   0.00000   0.10000   400.000  2253.380  7.586800110e+00  6.189320642e-04  2.049094019e+00  5.257977983e-02         0
   0.00000   0.10000   400.000  2232.488  9.667433966e+00  6.130911006e-04  2.171038321e+00  4.572768551e-02         0
   0.00000   0.10000   400.000  2205.278  1.232152128e+01  6.010061466e-04  2.297360930e+00  3.952111040e-02         0
   0.00000   0.10000   400.000  2170.759  1.569432146e+01  5.864373826e-04  2.430346491e+00  3.402690305e-02         0
   0.00000   0.10000   400.000  2141.631  1.999347794e+01  5.741660374e-04  2.571282535e+00  2.939840322e-02         0

   0.00000   0.20000   400.000  3579.300  2.096746867e-01  3.375177032e-28  1.184684058e+00  1.648690964e+00         2
   0.00000   0.20000   400.000  4444.196  2.545075599e-01  4.376291668e-28  1.261681734e+00  2.976261872e+00         2
   0.00000   0.20000   400.000  2848.770  3.247820237e-01  1.851725908e-03  1.205014891e+00  8.444256065e-01         1
   0.00000   0.20000   400.000  2722.017  4.139472828e-01  1.706368025e-03  1.226477907e+00  6.022791564e-01         1
   0.00000   0.20000   400.000  2664.814  5.273290032e-01  1.529489352e-03  1.264267620e+00  4.557197680e-01         0
   0.00000   0.20000   400.000  2603.320  6.719644820e-01  1.325807494e-03  1.309345791e+00  3.482751930e-01         0
   0.00000   0.20000   400.000  2559.879  8.565420405e-01  1.185560613e-03  1.362972190e+00  2.762469104e-01         0
   0.00000   0.20000   400.000  2527.419  1.091515239e+00  1.083082417e-03  1.423806701e+00  2.246103245e-01         0
   0.00000   0.20000   400.000  2487.595  1.390808618e+00  1.004703137e-03  1.491621170e+00  1.846305888e-01         0
   0.00000   0.20000   400.000  2447.449  1.771982135e+00  9.428501108e-04  1.566340975e+00  1.533811272e-01         0
   0.00000   0.20000   400.000  2416.329  2.258533950e+00  8.928391052e-04  1.648370648e+00  1.289678318e-01         0
   0.00000   0.20000   400.000  2390.506  2.877447014e+00  8.573596905e-04  1.737102061e+00  1.096007542e-01         0
   0.00000   0.20000   400.000  2368.078  3.667315250e+00  8.332307416e-04  1.832661229e+00  9.386849505e-02         0
   0.00000   0.20000   400.000  2329.441  4.673186482e+00  8.080404146e-04  1.933771542e+00  7.994915446e-02         0
   0.00000   0.20000   400.000  2297.816  5.954393259e+00  7.839228531e-04  2.041945562e+00  6.845830363e-02         0
   0.00000   0.20000   400.000  2271.251  7.587649504e+00  7.594628181e-04  2.156952361e+00  5.880653116e-02         0
   0.00000   0.20000   400.000  2248.296  9.667973172e+00  7.351292864e-04  2.278737112e+00  5.063574967e-02         0
   0.00000   0.20000   400.000  2227.010  1.231879979e+01  7.231913942e-04  2.407316320e+00  4.384174629e-02         0
   0.00000   0.20000   400.000  2192.958  1.569927374e+01  7.046738566e-04  2.540184837e+00  3.762781953e-02         0
   0.00000   0.20000   400.000  2159.020  1.999348172e+01  6.855417663e-04  2.681137323e+00  3.232214500e-02         0

